HEADER,PROU_HTC_20120405,
Default,1401,1501
Default Car-kit,1601,1701
Motorola H690,1402,1502
Motorola H790,1403,1503
Motorola H720,1404,1504
PLT_M1100,1405,1505
390Plantronics,1406,1506
PLT_BB903+,1407,1507
Voyager PRO+,1408,1508
HM1000,1409,1509
JABRA STONE2,1410,1510
BlueAnt Q2 V1.1,1411,1511
Jawbone ERA,1412,1512
9xxBackBeat,1413,1513
HTC Car V100,1414,1514
Jabra EXTREME,1415,1515
JABRA WAVE,1416,1516
Jabra Halo,1417,1517
Motorola S10-HD,1418,1518
Motorola HT820,1419,1519
590Plantronics,1420,1520
LG HBM-800,1421,1521
Motorola HX550,1422,1522
Motorola T325,1602,1702
Motorola T605,1603,1703
BH M300,1423,1523
BHM400,1424,1524
Motorola H17,1007,1107
HBH-PV840,1009,1109
HBH-PV740,1010,1110
HBH-DS200,1011,1111
Jabra BT3030,1015,1115
Jabra BT8040,1016,1116
Nokia BH-905,1017,1117
Nokia BH-505,1018,1118
Nokia BH-111,1019,1119
MW600,1020,1120
JKDAP3264,1001,1101
JKDAP3265,1002,1102
HBH-DS980,1012,1112
HTC CR M540,1021,1121
HTC BH M500,1022,1122
HTC BS C100,1023,1123
END,,
